"text","hashtags","sentiment","sentiment_label"
"young rebel star contributes lakhs towards tfi s help poor film workers grand total contribution towards relief efforts cr hatsoff ","Prabhas CCC CoronaCrisisCharity","-0.15000000000000002","negative"
"citizens handled way poor please free immediately inhuman still care apart speeches bihar","","0.294140625","positive"
" ve bene rage typing days everyday govt something dehumanizing something even farther well thought public health measure tackle covid india fuck ","","0.15","positive"
"spray returning vips nris corporate executives airports like ok migrant labour remember coronavirus brought india poor international travellers spread didnt self isolate quarantine ","","0.25","positive"
"student study medicine chernivitsi ukraine stuck due corona virus parents worried plz evacuate","Covid_19 covid19indiansinukraine","0","neutral"
"pakistanis defeat menace resilience courage amp collective efforts enforcing preventive measures important maintaining personal hygiene amp social distancing writes father recovered patient corona virus cm sindh","","0","neutral"
"join navy without iq clearly saying th march confirmed corona virus infection also meet people attend function spread disease innocent people ","","0.3333333333333333","positive"
"year old under cricketer richa ghosh donated one lakh rupees fight corona called king bollywood shah rukh khan paid pr company trend stop negativity srk priorities sorted ","","0.1","neutral"
"prizes guessing n t done airports disinfect brought india","Covid_19","0","neutral"
"corona took ur jobs yall worried mexicans","","0","neutral"
"r u trying kill corona humans migrant labourers families forced take bath chemical solution upon entry bareilly ","","-0.30000000000000004","negative"
"gon na funny see many yall wrong side history discrimination asians faced whole corona catastrophe discussed history books ","","0.08333333333333333","neutral"
"christians arguing conspiracy theories like moslems arguing original injeel use spurious connections poor evidences sustain world view scrutiny collapses sophism corona man made original gospel ","","0.11458333333333333","neutral"
"confirmed corona kills men ratio male death women recovery","","0.2","positive"
"young rebel star contributes lakhs total contribution cr fight aganist ","Prabhas CCC CoronaCrisisCharity Prabhas","0.05","neutral"
"sr advocate rakesh dwivedi donated rs one crore prime minister cares fund aid fight corona ","","0","neutral"
"u bitches complaining ab able see ur friends cos corona ppl china like havent seen anyone even skl since january","","0.5","positive"
"corona song woliagba crew ","COVID19","0","neutral"
